workerid,proliferate.condition,question_order,error
556,mental,lexical,
556,mental,cause,
524,mental,lexical,
524,mental,cause,
551,mental,lexical,
551,mental,cause,
461,mental,lexical,
461,mental,cause,
491,mental,lexical,
491,mental,cause,
469,mental,cause,
469,mental,lexical,
463,mental,cause,
463,mental,lexical,
534,mental,cause,
534,mental,lexical,
538,mental,lexical,
538,mental,cause,
476,mental,lexical,
476,mental,cause,
520,mental,lexical,
520,mental,cause,
484,mental,cause,
484,mental,lexical,
480,mental,lexical,
480,mental,cause,
547,mental,cause,
547,mental,lexical,
542,mental,cause,
542,mental,lexical,
500,mental,cause,
500,mental,lexical,
471,mental,lexical,
471,mental,cause,
467,mental,cause,
467,mental,lexical,
510,mental,lexical,
510,mental,cause,
527,mental,cause,
527,mental,lexical,
470,physical,cause,
470,physical,lexical,
554,physical,lexical,
554,physical,cause,
518,physical,cause,
518,physical,lexical,
522,physical,lexical,
522,physical,cause,
483,physical,lexical,
483,physical,cause,
535,physical,cause,
535,physical,lexical,
525,physical,lexical,
525,physical,cause,
504,physical,cause,
504,physical,lexical,
498,physical,lexical,
498,physical,cause,
492,physical,lexical,
492,physical,cause,
496,physical,lexical,
496,physical,cause,
552,physical,lexical,
552,physical,cause,
468,physical,cause,
468,physical,lexical,
549,physical,lexical,
549,physical,cause,
541,physical,cause,
541,physical,lexical,
544,physical,lexical,
544,physical,cause,
473,physical,lexical,
473,physical,cause,
478,physical,cause,
478,physical,lexical,
528,physical,lexical,
528,physical,cause,
503,physical,cause,
503,physical,lexical,
